"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"49","RGB0049",112,2018,"2018-03-22T00:00:00","NDI",113.618487481657,112.993103448276,267687,0.802659670164918
"50","RGB0050",129,2018,"2018-03-22T00:00:00","NDI",113.352443582721,112.64,267687,0.802659670164918
"51","RGB0051",286,2018,"2018-03-22T00:00:00","NDI",113.289466650379,112.64,267687,0.802659670164918
"52","RGB0052",195,2018,"2018-03-22T00:00:00","NDI",113.296267750756,112.761904761905,267687,0.802659670164918
"53","RGB0053",209,2018,"2018-03-22T00:00:00","NDI",113.054036491687,112.551724137931,267687,0.802659670164918
"54","RGB0054",327,2018,"2018-03-22T00:00:00","NDI",114.816053620694,114.215384615385,267687,0.802659670164918
"55","RGB0055",462,2018,"2018-03-22T00:00:00","NDI",116.095175631735,115.297709923664,267687,0.802659670164918
"56","RGB0056",373,2018,"2018-03-22T00:00:00","NDI",112.833429616613,112.345323741007,267687,0.802659670164918
"57","RGB0057",364,2018,"2018-03-22T00:00:00","NDI",112.706367923289,112.197530864198,267687,0.802659670164918
"58","RGB0058",314,2018,"2018-03-22T00:00:00","NDI",112.307286096101,111.79746835443,267687,0.802659670164918
"59","RGB0059",181,2018,"2018-03-22T00:00:00","NDI",110.695711869665,110.451612903226,267687,0.802659670164918
"60","RGB0060",344,2018,"2018-03-22T00:00:00","NDI",112.754907870893,112.197530864198,267687,0.802659670164918
"61","RGB0061",278,2018,"2018-03-22T00:00:00","NDI",113.563251371588,112.783216783217,267687,0.802659670164918
"62","RGB0062",475,2018,"2018-03-22T00:00:00","NDI",112.643612570739,112.116788321168,267687,0.802659670164918
"63","RGB0063",369,2018,"2018-03-22T00:00:00","NDI",111.979859095822,111.542857142857,267687,0.802659670164918
"64","RGB0064",236,2018,"2018-03-22T00:00:00","NDI",112.433085968016,111.881481481481,267687,0.802659670164918
"65","RGB0065",58,2018,"2018-03-22T00:00:00","NDI",112.316542580814,111.746031746032,267687,0.802659670164918
"66","RGB0066",84,2018,"2018-03-22T00:00:00","NDI",111.330600723437,110.933333333333,267687,0.802659670164918
"67","RGB0067",107,2018,"2018-03-22T00:00:00","NDI",111.656370131107,111.131782945736,267687,0.802659670164918
"68","RGB0068",334,2018,"2018-03-22T00:00:00","NDI",110.017465631784,109.714285714286,267687,0.802659670164918
"69","RGB0069",451,2018,"2018-03-22T00:00:00","NDI",112.339942209725,111.709090909091,267687,0.802659670164918
"70","RGB0070",378,2018,"2018-03-22T00:00:00","NDI",112.348391749479,111.774647887324,267687,0.802659670164918
"71","RGB0071",1,2018,"2018-03-22T00:00:00","NDI",113.853904616677,112.941176470588,267687,0.802659670164918
"72","RGB0072",301,2018,"2018-03-22T00:00:00","NDI",112.920151539408,112.132231404959,267687,0.802659670164918
"73","RGB0073",54,2018,"2018-03-22T00:00:00","NDI",113.262253817582,112.64,267687,0.802659670164918
"74","RGB0074",249,2018,"2018-03-22T00:00:00","NDI",111.794849941706,111.304347826087,267687,0.802659670164918
"75","RGB0075",73,2018,"2018-03-22T00:00:00","NDI",113.01191332298,112.197530864198,267687,0.802659670164918
"76","RGB0076",290,2018,"2018-03-22T00:00:00","NDI",111.349924697607,110.866141732283,267687,0.802659670164918
"77","RGB0077",465,2018,"2018-03-22T00:00:00","NDI",112.120756969596,111.589743589744,267687,0.802659670164918
"78","RGB0078",30,2018,"2018-03-22T00:00:00","NDI",111.820506180322,111.304347826087,267687,0.802659670164918
"79","RGB0079",90,2018,"2018-03-22T00:00:00","NDI",112.05951294496,111.483870967742,267687,0.802659670164918
"80","RGB0080",456,2018,"2018-03-22T00:00:00","NDI",112.270195747772,111.639097744361,267687,0.802659670164918
"81","RGB0081",128,2018,"2018-03-22T00:00:00","NDI",111.233647255667,110.866141732283,267687,0.802659670164918
"82","RGB0082",29,2018,"2018-03-22T00:00:00","NDI",112.148511120347,111.589743589744,267687,0.802659670164918
"83","RGB0083",321,2018,"2018-03-22T00:00:00","NDI",110.353704241614,110.139534883721,267687,0.802659670164918
"84","RGB0084",196,2018,"2018-03-22T00:00:00","NDI",113.661517840181,112.941176470588,267687,0.802659670164918
"85","RGB0085",162,2018,"2018-03-22T00:00:00","NDI",111.381183203079,111.036144578313,267687,0.802659670164918
"86","RGB0086",264,2018,"2018-03-22T00:00:00","NDI",113.974017311467,113.343511450382,267687,0.802659670164918
"87","RGB0087",248,2018,"2018-03-22T00:00:00","NDI",110.96035646433,110.702702702703,267687,0.802659670164918
"88","RGB0088",474,2018,"2018-03-22T00:00:00","NDI",113.669266851257,112.842105263158,267687,0.802659670164918
"89","RGB0089",294,2018,"2018-03-22T00:00:00","NDI",112.995232001379,112.280701754386,267687,0.802659670164918
