"","plot.UID","genotype.id","year_site.harvest_year","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"47","RGB0047",163,2018,"2018-03-22T00:00:00","TGI",1.65765331696611,1.49350649350649,267687,0.802659670164918
"48","RGB0048",213,2018,"2018-03-22T00:00:00","TGI",2.47570113215636,2.11229946524064,267687,0.802659670164918
"49","RGB0049",112,2018,"2018-03-22T00:00:00","TGI",2.5847567584576,2.26057906458797,267687,0.802659670164918
"50","RGB0050",129,2018,"2018-03-22T00:00:00","TGI",2.21700685792774,1.90217391304348,267687,0.802659670164918
"51","RGB0051",286,2018,"2018-03-22T00:00:00","TGI",2.3699021645579,2.04678362573099,267687,0.802659670164918
"52","RGB0052",195,2018,"2018-03-22T00:00:00","TGI",2.28642876425713,2.05128205128205,267687,0.802659670164918
"53","RGB0053",209,2018,"2018-03-22T00:00:00","TGI",2.16937119921759,1.89473684210527,267687,0.802659670164918
"54","RGB0054",327,2018,"2018-03-22T00:00:00","TGI",2.43800574366274,2.03821656050955,267687,0.802659670164918
"55","RGB0055",462,2018,"2018-03-22T00:00:00","TGI",2.81375122142654,2.27513227513228,267687,0.802659670164918
"56","RGB0056",373,2018,"2018-03-22T00:00:00","TGI",2.09967938827198,1.83628318584071,267687,0.802659670164918
"57","RGB0057",364,2018,"2018-03-22T00:00:00","TGI",2.15062853135473,1.88775510204082,267687,0.802659670164918
"58","RGB0058",314,2018,"2018-03-22T00:00:00","TGI",1.97446007302019,1.72932330827068,267687,0.802659670164918
"59","RGB0059",181,2018,"2018-03-22T00:00:00","TGI",1.32853917039351,1.20283018867924,267687,0.802659670164918
"60","RGB0060",344,2018,"2018-03-22T00:00:00","TGI",2.07404708797255,1.82291666666666,267687,0.802659670164918
"61","RGB0061",278,2018,"2018-03-22T00:00:00","TGI",2.45143562947678,2.08121827411168,267687,0.802659670164918
"62","RGB0062",475,2018,"2018-03-22T00:00:00","TGI",1.97225662721258,1.76315789473684,267687,0.802659670164918
"63","RGB0063",369,2018,"2018-03-22T00:00:00","TGI",1.93053503632331,1.7487684729064,267687,0.802659670164918
"64","RGB0064",236,2018,"2018-03-22T00:00:00","TGI",2.1047001185305,1.82038834951456,267687,0.802659670164918
"65","RGB0065",58,2018,"2018-03-22T00:00:00","TGI",2.07756665842157,1.83615819209039,267687,0.802659670164918
"66","RGB0066",84,2018,"2018-03-22T00:00:00","TGI",1.73683451867825,1.53645833333334,267687,0.802659670164918
"67","RGB0067",107,2018,"2018-03-22T00:00:00","TGI",1.95323830494548,1.72185430463576,267687,0.802659670164918
"68","RGB0068",334,2018,"2018-03-22T00:00:00","TGI",1.33027514292923,1.22754491017964,267687,0.802659670164918
"69","RGB0069",451,2018,"2018-03-22T00:00:00","TGI",2.20106726975597,1.92477876106195,267687,0.802659670164918
"70","RGB0070",378,2018,"2018-03-22T00:00:00","TGI",2.13225064912451,1.88888888888889,267687,0.802659670164918
"71","RGB0071",1,2018,"2018-03-22T00:00:00","TGI",2.86333121467505,2.47368421052631,267687,0.802659670164918
"72","RGB0072",301,2018,"2018-03-22T00:00:00","TGI",2.31885667613382,2.05202312138728,267687,0.802659670164918
"73","RGB0073",54,2018,"2018-03-22T00:00:00","TGI",2.47506458099692,2.19653179190752,267687,0.802659670164918
"74","RGB0074",249,2018,"2018-03-22T00:00:00","TGI",2.03964085723875,1.80379746835443,267687,0.802659670164918
"75","RGB0075",73,2018,"2018-03-22T00:00:00","TGI",2.52079960623917,2.12962962962963,267687,0.802659670164918
"76","RGB0076",290,2018,"2018-03-22T00:00:00","TGI",1.70553293443617,1.50887573964497,267687,0.802659670164918
"77","RGB0077",465,2018,"2018-03-22T00:00:00","TGI",2.04004289758503,1.80232558139535,267687,0.802659670164918
"78","RGB0078",30,2018,"2018-03-22T00:00:00","TGI",2.07096485699243,1.80790960451977,267687,0.802659670164918
"79","RGB0079",90,2018,"2018-03-22T00:00:00","TGI",2.0890221760592,1.8298969072165,267687,0.802659670164918
"80","RGB0080",456,2018,"2018-03-22T00:00:00","TGI",2.00714694856683,1.76470588235294,267687,0.802659670164918
"81","RGB0081",128,2018,"2018-03-22T00:00:00","TGI",1.56722206894557,1.40350877192983,267687,0.802659670164918
"82","RGB0082",29,2018,"2018-03-22T00:00:00","TGI",1.94051538622132,1.66666666666666,267687,0.802659670164918
"83","RGB0083",321,2018,"2018-03-22T00:00:00","TGI",1.19367257498299,1.0909090909091,267687,0.802659670164918
"84","RGB0084",196,2018,"2018-03-22T00:00:00","TGI",2.54101840513288,2.17616580310881,267687,0.802659670164918
"85","RGB0085",162,2018,"2018-03-22T00:00:00","TGI",1.57360991037621,1.4021164021164,267687,0.802659670164918
"86","RGB0086",264,2018,"2018-03-22T00:00:00","TGI",2.75944833648171,2.4,267687,0.802659670164918
"87","RGB0087",248,2018,"2018-03-22T00:00:00","TGI",1.47359182403024,1.32947976878613,267687,0.802659670164918
"88","RGB0088",474,2018,"2018-03-22T00:00:00","TGI",2.32258246701449,1.96078431372549,267687,0.802659670164918
"89","RGB0089",294,2018,"2018-03-22T00:00:00","TGI",2.10240517104358,1.77339901477832,267687,0.802659670164918
"90","RGB0090",328,2018,"2018-03-22T00:00:00","TGI",2.31384368650396,1.93452380952381,267687,0.802659670164918
"91","RGB0091",116,2018,"2018-03-22T00:00:00","TGI",2.46490491757863,2.08333333333333,267687,0.802659670164918
"92","RGB0092",292,2018,"2018-03-22T00:00:00","TGI",2.31042164293922,1.94767441860465,267687,0.802659670164918
"93","RGB0093",144,2018,"2018-03-22T00:00:00","TGI",1.71613081161261,1.48648648648649,267687,0.802659670164918
"94","RGB0094",160,2018,"2018-03-22T00:00:00","TGI",1.81546185400712,1.59090909090909,267687,0.802659670164918
"95","RGB0095",308,2018,"2018-03-22T00:00:00","TGI",2.12779736806133,1.8232044198895,267687,0.802659670164918
"96","RGB0096",343,2018,"2018-03-22T00:00:00","TGI",1.46787184251237,1.2962962962963,267687,0.802659670164918
"97","RGB0097",33,2018,"2018-03-22T00:00:00","TGI",2.60163141232164,2.16981132075472,267687,0.802659670164918
"98","RGB0098",237,2018,"2018-03-22T00:00:00","TGI",2.47970396381741,2.15736040609137,267687,0.802659670164918
"99","RGB0099",148,2018,"2018-03-22T00:00:00","TGI",1.87573986017159,1.60818713450292,267687,0.802659670164918
"100","RGB0100",214,2018,"2018-03-22T00:00:00","TGI",1.77469219841407,1.55080213903743,267687,0.802659670164918
"101","RGB0101",372,2018,"2018-03-22T00:00:00","TGI",2.12493627722679,1.81578947368421,267687,0.802659670164918
"102","RGB0102",288,2018,"2018-03-22T00:00:00","TGI",2.1875006715894,1.85897435897436,267687,0.802659670164918
"103","RGB0103",2,2018,"2018-03-22T00:00:00","TGI",1.75346647071932,1.5625,267687,0.802659670164918
"104","RGB0104",29,2018,"2018-03-22T00:00:00","TGI",2.05879697614242,1.76923076923077,267687,0.802659670164918
"105","RGB0105",370,2018,"2018-03-22T00:00:00","TGI",1.79083547327472,1.58536585365854,267687,0.802659670164918
"106","RGB0106",113,2018,"2018-03-22T00:00:00","TGI",2.14890039025862,1.88679245283019,267687,0.802659670164918
"107","RGB0107",70,2018,"2018-03-22T00:00:00","TGI",1.97131739478161,1.75531914893617,267687,0.802659670164918
"108","RGB0108",462,2018,"2018-03-22T00:00:00","TGI",1.87646588424436,1.62857142857143,267687,0.802659670164918
"109","RGB0109",478,2018,"2018-03-22T00:00:00","TGI",2.53104332624317,2.22826086956522,267687,0.802659670164918
"110","RGB0110",466,2018,"2018-03-22T00:00:00","TGI",2.14934931234003,1.86567164179104,267687,0.802659670164918
"111","RGB0111",67,2018,"2018-03-22T00:00:00","TGI",2.10319704954848,1.85567010309278,267687,0.802659670164918
"112","RGB0112",102,2018,"2018-03-22T00:00:00","TGI",2.07166812106723,1.83615819209039,267687,0.802659670164918
"113","RGB0113",14,2018,"2018-03-22T00:00:00","TGI",1.94620608773618,1.65605095541401,267687,0.802659670164918
"114","RGB0114",23,2018,"2018-03-22T00:00:00","TGI",2.48620888375964,2.09183673469388,267687,0.802659670164918
"115","RGB0115",316,2018,"2018-03-22T00:00:00","TGI",1.84249705338262,1.59090909090909,267687,0.802659670164918
"116","RGB0116",385,2018,"2018-03-22T00:00:00","TGI",2.05269488269879,1.79425837320574,267687,0.802659670164918
"117","RGB0117",279,2018,"2018-03-22T00:00:00","TGI",2.00450687880086,1.75675675675676,267687,0.802659670164918
"118","RGB0118",140,2018,"2018-03-22T00:00:00","TGI",1.95965318709752,1.74033149171271,267687,0.802659670164918
"119","RGB0119",176,2018,"2018-03-22T00:00:00","TGI",1.60186472499807,1.42857142857143,267687,0.802659670164918
"120","RGB0120",1,2018,"2018-03-22T00:00:00","TGI",2.64147951429237,2.2,267687,0.802659670164918
"121","RGB0121",424,2018,"2018-03-22T00:00:00","TGI",1.9459078985394,1.66666666666666,267687,0.802659670164918
"122","RGB0122",16,2018,"2018-03-22T00:00:00","TGI",1.7742730361909,1.53846153846154,267687,0.802659670164918
"123","RGB0123",36,2018,"2018-03-22T00:00:00","TGI",2.32187339421195,2.04268292682927,267687,0.802659670164918
"124","RGB0124",82,2018,"2018-03-22T00:00:00","TGI",2.2409003876159,1.88172043010752,267687,0.802659670164918
"125","RGB0125",332,2018,"2018-03-22T00:00:00","TGI",2.23417407656388,1.92682926829268,267687,0.802659670164918
"126","RGB0126",211,2018,"2018-03-22T00:00:00","TGI",2.62412644375626,2.16216216216216,267687,0.802659670164918
"127","RGB0127",52,2018,"2018-03-22T00:00:00","TGI",2.52379202229292,2.04225352112676,267687,0.802659670164918
"128","RGB0128",453,2018,"2018-03-22T00:00:00","TGI",2.0791527272662,1.74033149171271,267687,0.802659670164918
"129","RGB0129",336,2018,"2018-03-22T00:00:00","TGI",1.65636478888437,1.45631067961165,267687,0.802659670164918
"130","RGB0130",131,2018,"2018-03-22T00:00:00","TGI",1.72950937106216,1.524064171123,267687,0.802659670164918
"131","RGB0131",29,2018,"2018-03-22T00:00:00","TGI",2.01884239095496,1.70854271356784,267687,0.802659670164918
"132","RGB0132",124,2018,"2018-03-22T00:00:00","TGI",2.22070739484442,1.93396226415094,267687,0.802659670164918
"133","RGB0133",168,2018,"2018-03-22T00:00:00","TGI",1.42649018140408,1.25786163522012,267687,0.802659670164918
"134","RGB0134",381,2018,"2018-03-22T00:00:00","TGI",1.52969698047651,1.37142857142857,267687,0.802659670164918
"135","RGB0135",157,2018,"2018-03-22T00:00:00","TGI",1.74504948179602,1.52694610778443,267687,0.802659670164918
"136","RGB0136",192,2018,"2018-03-22T00:00:00","TGI",2.51739006610524,2.16783216783217,267687,0.802659670164918
"137","RGB0137",53,2018,"2018-03-22T00:00:00","TGI",2.09988436496777,1.80232558139535,267687,0.802659670164918
"138","RGB0138",472,2018,"2018-03-22T00:00:00","TGI",2.55359651379949,2.15384615384615,267687,0.802659670164918
"139","RGB0139",254,2018,"2018-03-22T00:00:00","TGI",2.14666525370827,1.82857142857143,267687,0.802659670164918
"140","RGB0140",330,2018,"2018-03-22T00:00:00","TGI",1.79565750693269,1.58371040723982,267687,0.802659670164918
"141","RGB0141",333,2018,"2018-03-22T00:00:00","TGI",1.63615213733359,1.46464646464647,267687,0.802659670164918
