"","plot.UID","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","SPC0001","2022-05-27T00:00:00","blue475",0.0624885731342932,0.023504282768874,391,0.664965986394558
"2","SPC0002","2022-05-27T00:00:00","blue475",0.0447320345047629,0.0189443457184031,391,0.664965986394558
"3","SPC0003","2022-05-27T00:00:00","blue475",0.0425817786833484,0.0119997477104155,391,0.664965986394558
"4","SPC0004","2022-05-27T00:00:00","blue475",0.0454516127541479,0.0094638643507148,391,0.664965986394558
"5","SPC0005","2022-05-27T00:00:00","blue475",0.0361756073986986,0.0050086197325251,391,0.664965986394558
"6","SPC0006","2022-05-27T00:00:00","blue475",0.0453763436851875,0.0175717116062715,391,0.664965986394558
"7","SPC0007","2022-05-27T00:00:00","blue475",0.0284115583095078,0.0080214352837291,391,0.664965986394558
"8","SPC0008","2022-05-27T00:00:00","blue475",0.027586335607997,0.0077306229718368,391,0.664965986394558
"9","SPC0009","2022-05-27T00:00:00","blue475",0.0434211924306672,0.0234344878140198,391,0.664965986394558
"10","SPC0010","2022-05-27T00:00:00","blue475",0.0442452251073723,0.026517098320078,391,0.664965986394558
"11","SPC0011","2022-05-27T00:00:00","blue475",0.0524897467118633,0.0282038097290532,391,0.664965986394558
"12","SPC0012","2022-05-27T00:00:00","blue475",0.0524345890621192,0.0268079106319703,391,0.664965986394558
"13","SPC0013","2022-05-27T00:00:00","blue475",0.0552261195007038,0.0271801503911924,391,0.664965986394558
"14","SPC0014","2022-05-27T00:00:00","blue475",0.0600460472205994,0.0337641411324336,391,0.664965986394558
"15","SPC0015","2022-05-27T00:00:00","blue475",0.0620639425330002,0.0363000244921342,391,0.664965986394558
"16","SPC0016","2022-05-27T00:00:00","blue475",0.0334469697710951,0.0225271534009159,391,0.664965986394558
"17","SPC0017","2022-05-27T00:00:00","blue475",0.0480519657076972,0.0274360652256576,391,0.664965986394558
"18","SPC0018","2022-05-27T00:00:00","blue475",0.0519130011897821,0.0274709627030847,391,0.664965986394558
"19","SPC0019","2022-05-27T00:00:00","blue475",0.0333651853163235,0.0097430441701314,391,0.664965986394558
"20","SPC0020","2022-05-27T00:00:00","blue475",0.0392863917420316,0.0086263248924651,391,0.664965986394558
