"","plot.UID","date","index_name","mean_value","median_value","plot_size_px","plot_size_ratio"
"1","SPC0001","2022-05-27T00:00:00","ARIgreen560",-0.0107306543129658,-0.0111901815112497,391,0.664965986394558
"2","SPC0002","2022-05-27T00:00:00","ARIgreen560",-0.0129761254781292,-0.0128748058709648,391,0.664965986394558
"3","SPC0003","2022-05-27T00:00:00","ARIgreen560",-0.0060573061683807,-0.0046371913157155,391,0.664965986394558
"4","SPC0004","2022-05-27T00:00:00","ARIgreen560",-0.0074930737031151,-0.0057795709787189,391,0.664965986394558
"5","SPC0005","2022-05-27T00:00:00","ARIgreen560",-0.0056833992932189,-0.0040430477640955,391,0.664965986394558
"6","SPC0006","2022-05-27T00:00:00","ARIgreen560",-0.0039001765680101,-0.0021605094299997,391,0.664965986394558
"7","SPC0007","2022-05-27T00:00:00","ARIgreen560",-0.0067578095834381,-0.0032723869822579,391,0.664965986394558
"8","SPC0008","2022-05-27T00:00:00","ARIgreen560",-0.0049288509174067,-0.0037902025410195,391,0.664965986394558
"9","SPC0009","2022-05-27T00:00:00","ARIgreen560",-0.0154775025976912,-0.0149806701624939,391,0.664965986394558
"10","SPC0010","2022-05-27T00:00:00","ARIgreen560",-0.0146938218660719,-0.0143312990266713,391,0.664965986394558
"11","SPC0011","2022-05-27T00:00:00","ARIgreen560",-0.0135141426349744,-0.0144445062229492,391,0.664965986394558
"12","SPC0012","2022-05-27T00:00:00","ARIgreen560",-0.0127996713730052,-0.0133793521644965,391,0.664965986394558
"13","SPC0013","2022-05-27T00:00:00","ARIgreen560",-0.0124361538971442,-0.0128713962731591,391,0.664965986394558
"14","SPC0014","2022-05-27T00:00:00","ARIgreen560",-0.0126203842809366,-0.0140480386308471,391,0.664965986394558
"15","SPC0015","2022-05-27T00:00:00","ARIgreen560",-0.01206521108604,-0.0128454827000627,391,0.664965986394558
"16","SPC0016","2022-05-27T00:00:00","ARIgreen560",-0.0213391469494594,-0.0173467239773159,391,0.664965986394558
"17","SPC0017","2022-05-27T00:00:00","ARIgreen560",-0.0164022506434702,-0.0163309140922281,391,0.664965986394558
"18","SPC0018","2022-05-27T00:00:00","ARIgreen560",-0.0147919703655988,-0.0143175374230823,391,0.664965986394558
"19","SPC0019","2022-05-27T00:00:00","ARIgreen560",-0.0327522824657076,-0.0315735484566248,391,0.664965986394558
"20","SPC0020","2022-05-27T00:00:00","ARIgreen560",-0.0312322930671043,-0.0312840431786195,391,0.664965986394558
"21","SPC0021","2022-05-27T00:00:00","ARIgreen560",-0.0274036303818243,-0.0152462745921122,391,0.664965986394558
"22","SPC0022","2022-05-27T00:00:00","ARIgreen560",-0.0310964452033264,-0.0142315317393619,391,0.664965986394558
"23","SPC0023","2022-05-27T00:00:00","ARIgreen560",-0.0340691266520452,-0.0157106074706136,391,0.664965986394558
"24","SPC0024","2022-05-27T00:00:00","ARIgreen560",-0.0241159510275284,-0.0130859781212795,391,0.664965986394558
"25","SPC0025","2022-05-27T00:00:00","ARIgreen560",-0.0169852734907951,-0.011566596106326,391,0.664965986394558
"26","SPC0026","2022-05-27T00:00:00","ARIgreen560",-0.0180848761776063,-0.015085023647017,391,0.664965986394558
"27","SPC0027","2022-05-27T00:00:00","ARIgreen560",-0.0172240942786431,-0.0148576259625882,391,0.664965986394558
"28","SPC0028","2022-05-27T00:00:00","ARIgreen560",-0.0276643581250537,-0.0248570634206763,391,0.664965986394558
"29","SPC0029","2022-05-27T00:00:00","ARIgreen560",-0.0228219070429507,-0.0147265368776717,391,0.664965986394558
"30","SPC0030","2022-05-27T00:00:00","ARIgreen560",-0.0143172830263968,-0.0134802141881909,391,0.664965986394558
"31","SPC0031","2022-05-27T00:00:00","ARIgreen560",-0.0334194505058364,-0.0193069493379248,391,0.664965986394558
"32","SPC0032","2022-05-27T00:00:00","ARIgreen560",-0.013106485765782,-0.0126754470350791,391,0.664965986394558
"33","SPC0033","2022-05-27T00:00:00","ARIgreen560",-0.0190240334222634,-0.0162013850145006,391,0.664965986394558
"34","SPC0034","2022-05-27T00:00:00","ARIgreen560",-0.018709654530316,-0.0178672550782114,391,0.664965986394558
"35","SPC0035","2022-05-27T00:00:00","ARIgreen560",-0.0199497149630028,-0.0187299510200451,391,0.664965986394558
"36","SPC0036","2022-05-27T00:00:00","ARIgreen560",-0.0338808013274163,-0.0264396049423882,391,0.664965986394558
"37","SPC0037","2022-05-27T00:00:00","ARIgreen560",-0.025168434129355,-0.0236772547269533,391,0.664965986394558
"38","SPC0038","2022-05-27T00:00:00","ARIgreen560",-0.0278449807481737,-0.0238068142325423,391,0.664965986394558
"39","SPC0039","2022-05-27T00:00:00","ARIgreen560",-0.051896147717106,-0.0419756131880297,391,0.664965986394558
"40","SPC0040","2022-05-27T00:00:00","ARIgreen560",-0.0355981376074269,-0.0332075435544356,391,0.664965986394558
"41","SPC0041","2022-05-27T00:00:00","ARIgreen560",-0.0186024834757824,-0.0149968567056418,391,0.664965986394558
"42","SPC0042","2022-05-27T00:00:00","ARIgreen560",-0.0362404821786928,-0.0281386378002043,391,0.664965986394558
"43","SPC0043","2022-05-27T00:00:00","ARIgreen560",-0.0210180970277564,-0.0134613510769498,391,0.664965986394558
"44","SPC0044","2022-05-27T00:00:00","ARIgreen560",-0.0169642014374123,-0.0117991654658216,391,0.664965986394558
"45","SPC0045","2022-05-27T00:00:00","ARIgreen560",-0.0400121014497548,-0.0122704019847423,391,0.664965986394558
"46","SPC0046","2022-05-27T00:00:00","ARIgreen560",-0.0266782859999175,-0.0175079858068431,391,0.664965986394558
"47","SPC0047","2022-05-27T00:00:00","ARIgreen560",-0.0311536252499799,-0.0291729375109003,391,0.664965986394558
"48","SPC0048","2022-05-27T00:00:00","ARIgreen560",-0.0293551606309105,-0.0264234448731508,391,0.664965986394558
"49","SPC0049","2022-05-27T00:00:00","ARIgreen560",-0.0332298507179051,-0.0309815921372641,391,0.664965986394558
"50","SPC0050","2022-05-27T00:00:00","ARIgreen560",-0.021855048495505,-0.0201448229021959,391,0.664965986394558
"51","SPC0051","2022-05-27T00:00:00","ARIgreen560",-0.0398737893735204,-0.0248922926341933,391,0.664965986394558
"52","SPC0052","2022-05-27T00:00:00","ARIgreen560",-0.0260481908463191,-0.0242918343386724,391,0.664965986394558
"53","SPC0053","2022-05-27T00:00:00","ARIgreen560",-0.0205957905824813,-0.0201094953054873,391,0.664965986394558
"54","SPC0054","2022-05-27T00:00:00","ARIgreen560",-0.0340101305400592,-0.0202179995361928,391,0.664965986394558
"55","SPC0055","2022-05-27T00:00:00","ARIgreen560",-0.0194840901926313,-0.0184735545419464,391,0.664965986394558
"56","SPC0056","2022-05-27T00:00:00","ARIgreen560",-0.0355841758487336,-0.0285879697149575,391,0.664965986394558
"57","SPC0057","2022-05-27T00:00:00","ARIgreen560",-0.0241162023469287,-0.0204850631097677,391,0.664965986394558
"58","SPC0058","2022-05-27T00:00:00","ARIgreen560",-0.0301418238717396,-0.026431975274216,391,0.664965986394558
"59","SPC0059","2022-05-27T00:00:00","ARIgreen560",-0.0375785102190903,-0.0229130132557568,391,0.664965986394558
"60","SPC0060","2022-05-27T00:00:00","ARIgreen560",-0.0141796733992112,-0.0087506367917963,391,0.664965986394558
"61","SPC0061","2022-05-27T00:00:00","ARIgreen560",-0.0206073181688414,-0.0120386927466124,391,0.664965986394558
"62","SPC0062","2022-05-27T00:00:00","ARIgreen560",-0.0111896425545643,-0.0100770710277001,391,0.664965986394558
"63","SPC0063","2022-05-27T00:00:00","ARIgreen560",-0.0202197642199336,-0.009247811240126,391,0.664965986394558
"64","SPC0064","2022-05-27T00:00:00","ARIgreen560",-0.0384786230317855,-0.0122162597511815,391,0.664965986394558
"65","SPC0065","2022-05-27T00:00:00","ARIgreen560",-0.0527705722541308,-0.0120611967338708,391,0.664965986394558
"66","SPC0066","2022-05-27T00:00:00","ARIgreen560",-0.0130500351875532,-0.0104202411089382,391,0.664965986394558
"67","SPC0067","2022-05-27T00:00:00","ARIgreen560",-0.0414721588412924,-0.0306284740978475,391,0.664965986394558
"68","SPC0068","2022-05-27T00:00:00","ARIgreen560",-0.0281545375680009,-0.0261731964029713,391,0.664965986394558
"69","SPC0069","2022-05-27T00:00:00","ARIgreen560",-0.0360345478547029,-0.0236483526507981,391,0.664965986394558
"70","SPC0070","2022-05-27T00:00:00","ARIgreen560",-0.0207754947613935,-0.0157467880009997,391,0.664965986394558
"71","SPC0071","2022-05-27T00:00:00","ARIgreen560",-0.015902358156438,-0.0146046642155631,391,0.664965986394558
"72","SPC0072","2022-05-27T00:00:00","ARIgreen560",-0.0170240996190239,-0.0144244845442211,391,0.664965986394558
"73","SPC0073","2022-05-27T00:00:00","ARIgreen560",-0.0171243255283792,-0.0136272675694808,391,0.664965986394558
"74","SPC0074","2022-05-27T00:00:00","ARIgreen560",-0.0189428579057407,-0.0147569676192791,391,0.664965986394558
"75","SPC0075","2022-05-27T00:00:00","ARIgreen560",-0.0168739727955526,-0.0159293000385369,391,0.664965986394558
"76","SPC0076","2022-05-27T00:00:00","ARIgreen560",-0.042963481419753,-0.0330285302646998,391,0.664965986394558
"77","SPC0077","2022-05-27T00:00:00","ARIgreen560",-0.0231350254151686,-0.0191241699774208,391,0.664965986394558
"78","SPC0078","2022-05-27T00:00:00","ARIgreen560",-0.0185917650976886,-0.0175196161266611,391,0.664965986394558
"79","SPC0079","2022-05-27T00:00:00","ARIgreen560",-0.0161082345984964,-0.0081509183190491,391,0.664965986394558
"80","SPC0080","2022-05-27T00:00:00","ARIgreen560",-0.018205900870141,-0.0095159108592483,391,0.664965986394558
"81","SPC0081","2022-05-27T00:00:00","ARIgreen560",-0.0130893535920232,-0.0115414403507155,391,0.664965986394558
"82","SPC0082","2022-05-27T00:00:00","ARIgreen560",-0.0231854332001868,-0.0146165306146518,391,0.664965986394558
"83","SPC0083","2022-05-27T00:00:00","ARIgreen560",-0.0059906428842437,-0.0037785573173004,391,0.664965986394558
"84","SPC0084","2022-05-27T00:00:00","ARIgreen560",-0.0201008992980957,-0.0137414298853014,391,0.664965986394558
"85","SPC0085","2022-05-27T00:00:00","ARIgreen560",-0.0146540154703751,-0.0088766767700869,391,0.664965986394558
"86","SPC0086","2022-05-27T00:00:00","ARIgreen560",-0.0175683858939731,-0.0102811094684215,391,0.664965986394558
"87","SPC0087","2022-05-27T00:00:00","ARIgreen560",-0.0224801844799786,-0.0220161876566642,391,0.664965986394558
"88","SPC0088","2022-05-27T00:00:00","ARIgreen560",-0.0235659388752362,-0.0223363039954621,391,0.664965986394558
"89","SPC0089","2022-05-27T00:00:00","ARIgreen560",-0.0261989547546679,-0.0213157149630465,391,0.664965986394558
"90","SPC0090","2022-05-27T00:00:00","ARIgreen560",-0.0273754160184422,-0.0224235588030547,391,0.664965986394558
"91","SPC0091","2022-05-27T00:00:00","ARIgreen560",-0.0095276178289404,-0.0092649103005476,391,0.664965986394558
"92","SPC0092","2022-05-27T00:00:00","ARIgreen560",-0.0102143762569635,-0.0101625238794933,391,0.664965986394558
"93","SPC0093","2022-05-27T00:00:00","ARIgreen560",-0.0086181664242389,-0.0086498978777046,391,0.664965986394558
"94","SPC0094","2022-05-27T00:00:00","ARIgreen560",-0.0111075416712339,-0.0106913132025497,391,0.664965986394558
"95","SPC0095","2022-05-27T00:00:00","ARIgreen560",-0.0144323126806879,-0.0131497231785241,391,0.664965986394558
"96","SPC0096","2022-05-27T00:00:00","ARIgreen560",-0.0184251077522526,-0.0164864975543193,391,0.664965986394558
"97","SPC0097","2022-05-27T00:00:00","ARIgreen560",-0.0192040948165219,-0.017698379269714,391,0.664965986394558
"98","SPC0098","2022-05-27T00:00:00","ARIgreen560",-0.0203232081239643,-0.0181253597155845,391,0.664965986394558
"99","SPC0099","2022-05-27T00:00:00","ARIgreen560",-0.0064012457849334,-0.0049824880091746,391,0.664965986394558
"100","SPC0100","2022-05-27T00:00:00","ARIgreen560",-0.0067084524296789,-0.0035169670996086,391,0.664965986394558
"101","SPC0101","2022-05-27T00:00:00","ARIgreen560",-0.0171220743954383,-0.0133242344192593,391,0.664965986394558
"102","SPC0102","2022-05-27T00:00:00","ARIgreen560",-0.023383078855617,-0.0154589032386063,391,0.664965986394558
"103","SPC0103","2022-05-27T00:00:00","ARIgreen560",-0.0196046994313506,-0.0187760365470161,391,0.664965986394558
"104","SPC0104","2022-05-27T00:00:00","ARIgreen560",-0.0229031288784535,-0.0160666924797906,391,0.664965986394558
"105","SPC0105","2022-05-27T00:00:00","ARIgreen560",-0.0198391831300336,-0.0078214904804412,391,0.664965986394558
"106","SPC0106","2022-05-27T00:00:00","ARIgreen560",-0.0290576155154709,-0.0264361403129597,391,0.664965986394558
"107","SPC0107","2022-05-27T00:00:00","ARIgreen560",-0.0263335650562326,-0.0237831104913764,391,0.664965986394558
"108","SPC0108","2022-05-27T00:00:00","ARIgreen560",-0.0294508435360176,-0.0245803435575678,391,0.664965986394558
"109","SPC0109","2022-05-27T00:00:00","ARIgreen560",-0.029128440093644,-0.0250406290781889,391,0.664965986394558
"110","SPC0110","2022-05-27T00:00:00","ARIgreen560",-0.041066210141477,-0.0254017847655262,391,0.664965986394558
"111","SPC0111","2022-05-27T00:00:00","ARIgreen560",-0.0231305077630689,-0.0160963208671412,391,0.664965986394558
"112","SPC0112","2022-05-27T00:00:00","ARIgreen560",-0.0123564413288283,-0.0120350667473348,391,0.664965986394558
"113","SPC0113","2022-05-27T00:00:00","ARIgreen560",-0.0149570947691737,-0.0142125852772393,391,0.664965986394558
"114","SPC0114","2022-05-27T00:00:00","ARIgreen560",-0.0129870476862655,-0.0107385263943801,391,0.664965986394558
"115","SPC0115","2022-05-27T00:00:00","ARIgreen560",-0.0245916188902558,-0.0139855846951269,391,0.664965986394558
"116","SPC0116","2022-05-27T00:00:00","ARIgreen560",-0.0201446776141182,-0.0165838111463332,391,0.664965986394558
"117","SPC0117","2022-05-27T00:00:00","ARIgreen560",-0.023603831687934,-0.0215825962860945,391,0.664965986394558
"118","SPC0118","2022-05-27T00:00:00","ARIgreen560",-0.0198898717468981,-0.0172195805199905,391,0.664965986394558
"119","SPC0119","2022-05-27T00:00:00","ARIgreen560",-0.0074431037248701,-0.0068986408017376,391,0.664965986394558
"120","SPC0120","2022-05-27T00:00:00","ARIgreen560",-0.0111371365024936,-0.0063196290431748,391,0.664965986394558
"121","SPC0121","2022-05-27T00:00:00","ARIgreen560",-0.0227887700086304,-0.0141517394551388,391,0.664965986394558
"122","SPC0122","2022-05-27T00:00:00","ARIgreen560",-0.0151878741485147,-0.0142214674635907,391,0.664965986394558
"123","SPC0123","2022-05-27T00:00:00","ARIgreen560",-0.0166299085659964,-0.0150299833131134,391,0.664965986394558
"124","SPC0124","2022-05-27T00:00:00","ARIgreen560",-0.0248897047346204,-0.0209199583159251,391,0.664965986394558
"125","SPC0125","2022-05-27T00:00:00","ARIgreen560",-0.0197389415795452,-0.0196555399882295,391,0.664965986394558
"126","SPC0126","2022-05-27T00:00:00","ARIgreen560",-0.0281363574650024,-0.0260337428316396,391,0.664965986394558
"127","SPC0127","2022-05-27T00:00:00","ARIgreen560",-0.0223583898596058,-0.0221369829346121,391,0.664965986394558
"128","SPC0128","2022-05-27T00:00:00","ARIgreen560",-0.0250774440361143,-0.0245668668413306,391,0.664965986394558
"129","SPC0129","2022-05-27T00:00:00","ARIgreen560",-0.0303384043699586,-0.0300756913978081,391,0.664965986394558
"130","SPC0130","2022-05-27T00:00:00","ARIgreen560",-0.0241701982216663,-0.0231290081436726,391,0.664965986394558
"131","SPC0131","2022-05-27T00:00:00","ARIgreen560",-0.0163631569765692,-0.0156949629678624,391,0.664965986394558
"132","SPC0132","2022-05-27T00:00:00","ARIgreen560",-0.0153672404507604,-0.0152102177820322,391,0.664965986394558
"133","SPC0133","2022-05-27T00:00:00","ARIgreen560",-0.0150114098340663,-0.0151962594276055,391,0.664965986394558
"134","SPC0134","2022-05-27T00:00:00","ARIgreen560",-0.0157842916792477,-0.015338094937444,391,0.664965986394558
"135","SPC0135","2022-05-27T00:00:00","ARIgreen560",-0.0161504178934296,-0.0154253071744119,391,0.664965986394558
"136","SPC0136","2022-05-27T00:00:00","ARIgreen560",-0.0303210787438198,-0.0211872333955494,391,0.664965986394558
"137","SPC0137","2022-05-27T00:00:00","ARIgreen560",-0.0229269793271848,-0.0214340420894614,391,0.664965986394558
